"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
185000,96,3,1,1,0,1,1,11.131,30.16194332,32.12192263,9.62,1.25180253140859,0.208014134687019,1.23627260265541,1.45923406027781,0.0659501073475773,0.76383936502515
229000,99,4,1,2,1,1,0,13.452,31.90348525,37.07524272,5.58,0.801926414230531,0.63973238374036,0.606830399825054,1.29562783563045,0.368628124202163,0.278370629285469
450000,131,3,1,2,1,0,0,19.514,36.09671848,59.16666667,4.26,1.28423619762666,0.635838218182346,0.753200276959729,1.7508988389158,0.0637890081976831,0.326686188874397
535000,221,4,1,2,1,1,1,20.14,31.79650238,59.56482321,7.47,0.302004732544062,0.0614059724590768,0.304276647081911,1.57582422253393,0.0866927021893375,0.424157698753402
510000,104,2,1,2,0,0,1,14.614,21.66037736,50.04314064,7.4,1.00131662195757,1.16082536910132,1.12172398769692,0.903463215618774,0.17547701717985,0.0860860199966823
449000,98,3,1,2,0,0,1,15.18,6.742281033,62.73031826,1.45,1.66472315228733,0.102193757731198,0.45139714277292,0.879202774690203,0.0911013049565653,0.670790676641074
105000,68,3,0,1,0,0,0,13.558,14.65157832,41.67289022,5.24,2.16316792966037,4.01910049205997,3.93663530777452,0.0942139896580508,2.6691553519223,0.529927013109392
320000,85,3,1,2,1,0,0,18.979,28.39879154,58.84808013,10.42,1.03487278790457,0.613386467147725,0.304526184010374,2.26941808323905,0.149350597053303,0.0920824231426971
219000,129,4,1,1,1,0,1,12.218,18.37294333,31.50384193,20.57,1.4985250244071,1.04548511181658,0.328925042046418,1.44909636940357,0.220925975340287,1.10662096470505
225000,95,3,1,2,1,1,1,15.645,28.77155172,46.7800729,10.34,0.134527566396485,0.656931082509219,0.71797018727495,0.775509014990189,0.027880919192522,0.23927882174279
65000,60,2,0,1,1,0,1,4.996,11.23287671,2.267818575,7.67,1.49461807699563,1.03073128688843,0.649847344151252,1.09925764347901,0.309949594070085,1.16397478788009
499000,100,3,0,2,0,1,1,17.449,28.86776145,56.60749507,9.33,0.767983778544942,0.401000153812158,0.53910027467375,2.42863979101506,0.334118275302251,0.2526138486338
239000,114,4,1,2,0,0,0,15.49,31.1574328,51.01553166,8.28,0.972285308556664,0.443599403123478,0.459961424649023,2.11163863193739,0.68152289047247,0.288420610129581
299500,120,4,1,2,0,0,0,16.752,27.77202073,52.49169435,13.68,0.861715063886341,0.341974238729977,0.330009989042682,2.13651271223259,0.621116608217124,0.393202732453029
110500,30,1,1,1,0,0,0,19.654,23.6037234,61.82108626,10.17,0.368968636335277,0.513745835332503,0.272505598577781,1.79218136582077,0.0773321770407401,0.767500956813045
105000,68,3,0,1,0,0,0,13.558,14.65157832,41.67289022,5.24,2.15990022170408,4.00706615639135,3.93857091557619,0.074361351742757,2.66541464504304,0.503268694557961
195000,51,1,0,1,1,0,0,20.37,28.44500632,57.84447476,10.75,1.20143596664108,0.767229144251156,0.214528365852615,2.14479006140766,0.128182506283383,0.0776299531208914
99000,83,3,0,1,0,1,1,6.95,12.4,10.81771721,3.93,0.868069082998757,0.742798525872091,0.731842913080765,0.789751674205204,0.166196730084005,0.633553399106815
200000,70,2,0,1,1,0,0,15.666,19.57340025,58.62977602,17.44,0.334696838693613,0.744156290394054,0.104644863822148,2.6051279631825,0.271984437701766,0.431418455856155
169000,82,3,0,1,1,0,0,10.323,21.54340836,28.08132147,25.19,0.993588417525248,0.659369967070422,0.693767166394317,1.26092024272722,0.167898968280361,0.851967781436052
