"price,""size"",""rooms"",""elevator"",""bathrooms"",""air_cond"",""balcony"",""terrace"",""income"",""longevity"",""higher_stud"",""foreign"",""hospital"",""subway"",""university"",""intercity_bus"",""local_bus "",""flood"""
180000,76,2,1,1,0,0,0,10.713,27.04761905,17.55,4,0.654860722145836,4.07226699387989,4.08742205778737,0.898303241041489,1.27045506490158,5.62410485113851
224990,81,3,1,2,1,0,1,10.831,4.827586207,29.07,0.79,0.981944572561971,3.72565389748001,3.88789543390129,1.4042686680304,1.15477115734312,6.68428585405981
250000,70,2,1,1,1,0,0,14.841,27.8366112,42.08,6.58,0.0739908623294278,0.622994947327964,0.758486265245638,1.22030880043339,0.636819328796185,0.746633215627381
143990,97,3,0,1,1,0,0,10.764,28.48537005,18.91,4.73,1.01008212016973,4.65425930203042,4.70879132001801,0.993051107338664,1.95061166237528,6.29530955394954
170000,88,3,1,2,1,0,0,12.608,1.381509033,54.72,1.28,1.04633550399031,4.33450881215393,4.44532758921291,1.67433300398334,1.9330373488201,6.64218769455369
379000,129,2,1,2,1,0,0,16.236,21.90909091,43.33,9.09,0.762528138732369,0.50070538717101,0.830879399832237,0.876335876746288,0.53662894698956,0.0616063429836684
185000,83,3,1,2,1,0,0,11.43,3.188297074,44.73,3,1.41633597336166,4.71431314378066,4.82809295750361,1.69338142353901,2.17291553563682,6.91024519936939
160000,84,3,1,1,1,1,0,6.3,14.14602347,5.72,16.1,0.446547206175828,3.38533492495519,1.14806324144576,1.78254621037511,0.436562449811404,0.927137341743157
232000,65,1,1,1,1,1,1,20.637,28.55895197,58.25,6.03,0.26936168811834,0.214190932969364,0.256999943931389,1.4409065207719,0.252631043826429,2.17101222742753
245000,56,1,1,1,1,1,0,19.956,33.30522766,58.93,9.02,0.428949760885522,0.847940413577658,1.0505595881323,0.526345182011449,0.699070185297717,0.00415859745209904
269000,84,2,1,2,0,0,0,17.774,20.38216561,54.04,9.18,0.272161195684275,2.72344953597327,0.140636163822677,2.06580679651556,0.277568328300993,0.309517307715942
295000,62,2,1,1,1,0,0,17.34,17.60423561,50.96,5.96,0.273417379528081,1.23898254086384,1.12542754368927,0.413118487409026,0.232214073361076,0.0516207335505652
350000,79,2,0,1,1,1,0,21.885,25.97741095,61.04,8.77,0.332139031686163,0.897114034695555,0.533913113233481,0.592546078632462,0.969068572310608,0.508560220855305
430000,105,3,1,1,0,0,0,18.193,21.36752137,59.17,3.26,0.413944108572159,0.535866775998993,0.347926123341181,1.51643050125442,0.472212872036112,0.534828209832458
290164,84,3,1,1,1,0,1,18.799,25.27339004,54.51,5.95,0.404730160776213,1.15531071439279,0.919916477515387,1.05826961188505,0.802379295518348,1.56308260862292
364800,114,3,1,2,1,0,0,19.042,24.37411431,49.56,13.13,0.446015995005178,2.9936381046539,3.01435165263137,1.61362429628976,0.687919790690938,4.25358804299449
265000,81,2,0,1,1,1,0,15.985,18.63057325,53.29,10.19,0.611571204030959,2.08755103644038,0.484121665805126,1.40592041769544,0.418705656662851,0.427417237197896
210000,65,3,0,1,0,0,0,9.852,16.58354115,26.83,23.57,0.0988478793841008,0.159020682301408,0.0652209326617655,1.70645116047984,0.24940798553085,0.7607852733793
293000,112,3,1,2,1,0,0,14.66,5.742935278,47.51,2.78,0.897432112684295,3.5826292006807,0.7035946684447,3.03054891624917,0.605805618220865,0.946017269674702
260000,76,2,1,1,1,0,0,18.071,20.56179775,58.1,8.99,0.25249092992885,1.59550403720819,0.438963793066215,1.31994638829087,0.81015060919017,0.971514601713652
